r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p13161,0.0164,-0.0359,-0.0319,-0.0249,0,0
p13163,0.0243,-0.0182,-0.0224,-0.0168,0,0
p13165,0.0304,-0.0254,-0.0273,-0.0204,0,0
p13167,0.0223,-0.0202,-0.0233,-0.0177,0,0
p13169,0.0187,-0.002,-0.0125,-0.0096,0,0
p13171,0.0185,0.0065,-0.0075,-0.006,0,0
p13173,0.003,-0.0517,-0.04,-0.0317,0,0
p13175,0.0189,-0.0223,-0.0244,-0.0187,0,0
p13177,0.0052,-0.0412,-0.034,-0.0274,0,0
p13179,0.0341,-0.0336,-0.0327,-0.0247,0,0
p13181,0.0204,-0.0114,-0.0178,-0.0128,0,0
p13183,0.0286,-0.0336,-0.0322,-0.0245,0,0
p13185,-0.0009,-0.0562,-0.0427,-0.0341,0,0
p13187,0.019,0.0047,-0.0078,-0.0058,0,0
p13189,0.022,-0.0122,-0.0184,-0.0134,0,0
p13191,0.0311,-0.0356,-0.0337,-0.0257,0,0
p13193,0.0132,-0.0202,-0.0225,-0.018,0,0
p13195,0.0184,0.0004,-0.0108,-0.0078,0,0
p13197,0.0127,-0.0197,-0.0221,-0.0179,0,0
p13199,0.018,0.0036,-0.0091,-0.0074,0,0
p13201,-0.004,-0.0584,-0.0438,-0.035,0,0
p13205,-0.0032,-0.0575,-0.0431,-0.0348,0,0
p13207,0.0184,0.0023,-0.01,-0.0077,0,0
p13209,0.0203,-0.029,-0.0285,-0.0217,0,0
p13211,0.0194,0.0073,-0.0071,-0.0051,0,0
p13213,0.0186,-0.0018,-0.0114,-0.0092,0,0
p13215,0.0145,-0.013,-0.0182,-0.015,0,0
p13217,0.02,0.0136,-0.0036,-0.0028,0,0
p13219,0.0193,0.006,-0.0077,-0.006,0,0
p13221,0.019,-0.0012,-0.0118,-0.0089,0,0
p13223,0.0193,0.013,-0.004,-0.0033,0,0
p13225,0.0153,-0.0147,-0.019,-0.015,0,0
p13227,0.019,0.007,-0.0068,-0.0054,0,0
p13229,0.0166,-0.0401,-0.0346,-0.027,0,0
p13231,0.0187,0.0083,-0.0067,-0.0055,0,0
p13233,0.0183,0.0033,-0.0092,-0.008,0,0
p13235,0.014,-0.0254,-0.0256,-0.02,0,0
p13237,0.019,0.0015,-0.0103,-0.0078,0,0
p13239,0.0075,-0.0352,-0.0307,-0.0252,0,0
p13241,0.0179,-0.0013,-0.0109,-0.0077,0,0
p13243,0.0054,-0.0396,-0.0331,-0.0267,0,0
p13245,0.0257,-0.0174,-0.022,-0.0159,0,0
p13247,0.02,0.0173,-0.0017,-0.001,0,0
p13249,0.0123,-0.0217,-0.0233,-0.0187,0,0
p13251,0.0374,-0.0291,-0.0303,-0.0225,0,0
p13253,-0.005,-0.0612,-0.0452,-0.0362,0,0
p13255,0.0192,0.013,-0.0038,-0.003,0,0
p13257,0.0177,-0.0017,-0.0113,-0.008,0,0
p13259,0.0093,-0.0289,-0.0271,-0.0219,0,0
p13261,0.0093,-0.031,-0.0285,-0.0227,0,0
p13263,0.0159,-0.0066,-0.0151,-0.012,0,0
p13265,0.02,-0.0047,-0.0137,-0.0105,0,0
p13267,0.0266,-0.0309,-0.0303,-0.023,0,0
p13269,0.015,-0.0127,-0.0181,-0.0146,0,0
p13271,0.0147,-0.0339,-0.0309,-0.0239,0,0
p13273,0.005,-0.0404,-0.0336,-0.027,0,0
p13275,-0.0068,-0.0642,-0.0469,-0.0376,0,0
p13277,0.0038,-0.0477,-0.0377,-0.03,0,0
p13279,0.0233,-0.0293,-0.0291,-0.0221,0,0
p13281,0.0187,0,-0.0102,-0.0075,0,0
p13283,0.022,-0.0246,-0.0262,-0.02,0,0
p13285,0.0176,0.0005,-0.0108,-0.0089,0,0
p13287,0.0068,-0.0405,-0.034,-0.027,0,0
p13289,0.0175,-0.0138,-0.019,-0.0147,0,0
p13291,0.019,0.002,-0.0092,-0.0068,0,0
p13293,0.0173,-0.0007,-0.0117,-0.0091,0,0
p13295,0.016,-0.0106,-0.0165,-0.0146,0,0
p13297,0.02,0.0125,-0.0042,-0.0032,0,0
p13299,0.0113,-0.0443,-0.0365,-0.0286,0,0
p13301,0.021,-0.0092,-0.0164,-0.0124,0,0
p13303,0.0213,-0.0147,-0.0201,-0.0152,0,0
p13305,0.0227,-0.0365,-0.0334,-0.026,0,0
p13307,0.0085,-0.0315,-0.029,-0.023,0,0
p13309,0.0183,-0.0297,-0.0285,-0.0222,0,0
p13311,0.019,0.0034,-0.0086,-0.0064,0,0
p13313,0.0167,-0.0047,-0.0129,-0.0109,0,0
p13315,0.0111,-0.0334,-0.0301,-0.0239,0,0
p13317,0.0195,-0.0066,-0.0149,-0.0106,0,0
p13319,0.0192,-0.0126,-0.0189,-0.0143,0,0
p13321,0.0035,-0.0462,-0.037,-0.0295,0,0
p16001,0.0203,0.0314,0.011,0.011,0,0
p16003,0.0271,0.0562,0.03,0.0275,0,0
p16005,0.0203,0.012,-0.0006,-0.0013,0,0
p16007,0.0214,0.0078,-0.0033,-0.004,0,0
p16009,0.0304,0.0719,0.0421,0.0328,0,0
p16011,0.0174,0.0152,0.0019,0.0009,0,0
p16013,0.0231,0.0346,0.0148,0.0136,0,0
p16015,0.0214,0.0352,0.0139,0.0134,0,0
p16017,0.0305,0.0724,0.0427,0.0338,0,0
p16019,0.015,0.0123,0.0002,-0.0008,0,0
p16021,0.0303,0.0724,0.0436,0.0356,0,0
p16023,0.0177,0.0231,0.0076,0.0066,0,0
p16025,0.024,0.041,0.0185,0.0173,0,0
p16027,0.021,0.0331,0.0123,0.0121,0,0
p16029,0.0185,0.0106,-0.0012,-0.0021,0,0
p16031,0.0257,0.03,0.011,0.0094,0,0
p16033,0.0126,0.0158,0.0029,0.002,0,0
p16035,0.027,0.0628,0.0366,0.0304,0,0
p16037,0.0218,0.0379,0.0174,0.016,0,0
p16039,0.0223,0.0372,0.0153,0.0147,0,0
p16041,0.0233,0.008,-0.0035,-0.0042,0,0
p16043,0.0086,0.0084,-0.0019,-0.0028,0,0
p16045,0.0215,0.0354,0.0139,0.0136,0,0
p16047,0.0252,0.0435,0.0202,0.0188,0,0
p16049,0.0258,0.0572,0.0323,0.0281,0,0
p16051,0.0144,0.0155,0.0025,0.0017,0,0
p16053,0.0262,0.0422,0.0191,0.0175,0,0
p16055,0.03,0.071,0.0411,0.0316,0,0
p16057,0.0312,0.0743,0.044,0.0358,0,0
p16059,0.0192,0.0351,0.0168,0.0149,0,0
p16061,0.0316,0.0747,0.0444,0.038,0,0
p16063,0.0248,0.0392,0.0174,0.0158,0,0
p16065,0.0129,0.0123,0.0004,-0.0004,0,0
p16067,0.023,0.0278,0.01,0.0089,0,0
p16069,0.0321,0.0766,0.0459,0.0388,0,0
p16071,0.0232,0.0107,-0.0017,-0.0025,0,0
p16073,0.0266,0.0519,0.0255,0.0239,0,0
p16075,0.022,0.037,0.015,0.0145,0,0
p16077,0.0206,0.0154,0.0016,0.0007,0,0
p16079,0.0287,0.0678,0.0396,0.0319,0,0
p16081,0.0091,0.0063,-0.0037,-0.0044,0,0
